age,income,credit_score,website_visits,email_opens,property_views,contact_attempts,time_on_site_minutes,inquiry_submitted,financing_pre_approved,budget_disclosed,location_preference_set,lead_score
37,30370,383,8,6,4,3,18,0,1,1,0,Low
36,406356,491,19,18,16,7,54,0,0,0,0,Low
68,292630,340,11,12,9,3,25,0,0,0,1,Medium
65,315906,608,17,16,4,1,39,0,0,0,1,Low
24,56613,677,14,10,8,0,30,0,0,0,0,Low
58,273876,435,12,7,7,3,37,0,0,1,1,Medium
28,33196,405,10,4,6,2,13,1,0,0,1,Low
42,256009,818,23,16,11,2,41,1,1,1,0,High
30,392709,841,23,18,15,5,51,0,0,1,1,High
60,368493,425,23,14,8,0,40,0,0,1,1,Medium
39,356983,656,20,18,12,4,40,0,1,1,1,Medium
25,465132,699,24,22,13,4,58,1,0,0,0,Medium
46,38572,378,7,6,6,1,18,0,0,0,0,Low
35,451441,688,23,28,16,4,51,0,1,1,1,High
30,75853,834,14,18,9,3,28,1,0,0,1,Medium
47,472606,373,23,12,12,1,37,0,1,0,0,Low
23,193347,304,4,10,2,1,24,0,0,0,1,Low
41,364523,762,25,15,13,2,50,0,1,0,1,Medium
49,424321,381,20,10,5,6,42,1,0,1,0,Medium
68,146074,836,15,17,6,2,32,0,0,0,1,Medium
28,483112,704,32,15,11,3,44,0,0,1,0,Medium
65,73209,813,20,10,9,3,31,0,0,0,0,Low
29,465703,577,17,16,9,4,51,0,0,0,1,Medium
68,441267,523,22,18,12,5,53,0,0,1,1,Medium
56,124244,367,8,12,3,3,18,0,0,0,1,Low
35,262067,619,17,13,12,4,35,0,0,1,1,Medium
38,283516,318,11,9,4,3,30,0,1,1,0,Medium
57,238472,642,16,10,9,3,25,1,1,0,1,Medium
61,130300,642,14,14,8,2,28,0,0,0,1,Low
25,228033,396,11,15,3,5,34,0,1,0,1,Medium
23,483372,351,24,11,11,3,44,0,1,1,1,Medium
27,406826,474,18,18,15,3,36,1,1,0,0,Medium
63,87175,637,14,9,9,3,28,1,1,0,0,Medium
25,430065,652,23,15,15,5,56,0,1,1,1,Medium
50,131551,690,16,13,6,1,30,0,0,0,0,Low
39,311120,414,17,9,11,2,36,0,1,0,1,Medium
47,422761,647,22,13,18,2,41,1,1,1,0,Medium
65,391938,300,12,8,6,2,44,1,1,1,1,High
55,276984,362,24,12,4,2,22,0,0,0,0,Low
31,86866,525,16,8,7,4,25,0,1,0,0,Low
57,147752,722,17,15,6,4,32,1,1,0,1,Medium
35,339222,318,12,8,9,1,37,1,0,1,0,Medium
52,283564,330,11,11,13,3,29,0,1,0,1,Medium
69,323257,323,23,12,9,0,33,0,0,0,1,Medium
36,276592,510,14,5,7,1,28,0,1,1,1,Medium
29,45401,460,9,6,0,1,16,0,0,0,0,Low
35,436100,554,27,19,11,4,48,1,1,0,0,Medium
44,245432,413,11,9,5,6,24,1,0,0,0,Low
61,460779,803,26,22,20,2,62,0,1,1,1,High
42,195486,519,15,16,4,3,31,0,0,1,0,Low
37,177214,656,15,15,4,2,35,0,0,1,0,Low
66,276200,468,16,14,7,4,31,1,0,0,1,Medium
39,363636,823,24,17,17,3,58,0,1,1,0,Medium
68,240536,541,13,12,10,1,26,1,1,0,0,Medium
45,236329,674,21,10,10,1,39,0,0,1,0,Medium
47,106693,438,5,5,7,1,30,0,0,1,0,Low
46,65135,396,10,8,2,2,18,1,1,0,0,Low
66,495448,446,17,16,6,7,44,0,0,0,1,Low
62,320006,481,17,10,12,1,40,1,0,1,1,Medium
50,166262,356,13,7,5,1,24,0,0,0,0,Low
36,100199,341,4,3,6,1,18,0,1,0,0,Low
66,397510,842,21,15,11,3,65,0,0,1,1,Medium
22,34331,301,8,5,4,2,15,1,0,1,1,Low
46,213258,587,17,7,13,2,33,0,1,1,1,Medium
28,336792,437,18,14,6,1,33,0,0,1,1,Medium
30,320693,811,31,11,11,4,44,1,0,0,1,Medium
45,242854,521,14,14,5,2,40,1,0,1,1,Medium
22,55761,630,17,10,7,1,28,1,0,1,0,Low
65,295406,703,23,16,8,3,39,0,1,0,1,Medium
29,474475,807,28,17,12,7,43,1,1,0,1,High
45,364716,426,25,15,9,6,34,1,0,1,0,Medium
32,285792,564,27,18,12,4,36,0,1,0,1,Medium
38,214544,314,11,5,9,1,18,0,1,0,1,Medium
29,380002,525,18,14,6,1,37,0,0,0,0,Low
56,114667,404,10,2,6,3,22,0,1,1,1,Medium
56,34677,792,17,9,11,2,28,1,0,1,1,Medium
54,234580,618,22,15,9,3,48,0,1,1,1,Medium
26,160334,518,11,10,10,1,21,0,1,1,0,Medium
63,393581,576,23,13,16,2,51,0,0,0,1,Medium
60,473833,640,24,11,15,4,47,0,1,0,1,Medium
62,441811,751,27,24,9,13,50,0,0,1,1,Medium
49,90148,668,11,14,13,2,21,0,0,0,1,Low
28,339070,773,23,13,16,4,53,1,1,1,1,High
30,105271,489,11,14,6,3,20,0,0,0,1,Low
29,64457,718,12,11,6,2,26,0,0,0,0,Low
33,72531,794,15,8,10,2,35,0,1,0,0,Low
55,234335,338,25,7,4,1,21,0,1,0,1,Medium
54,496516,461,27,10,9,5,42,0,0,0,1,Low
69,158027,420,11,12,5,1,22,1,1,0,1,Medium
44,224243,698,19,13,9,2,30,0,0,1,0,Medium
45,287231,561,22,14,6,1,40,0,1,1,1,Medium
58,279301,428,14,12,4,2,37,0,1,1,0,Medium
56,75771,839,20,14,11,4,38,0,0,1,0,Low
65,123135,655,15,6,8,3,23,1,0,1,1,Medium
61,96354,731,15,10,9,2,19,0,1,0,0,Medium
43,142743,364,6,5,4,2,25,0,0,1,0,Low
48,274453,517,24,13,6,4,39,1,0,0,1,Medium
56,460505,726,30,16,15,4,57,1,1,0,1,Medium
22,63892,373,8,3,4,0,17,0,1,0,0,Low
56,232268,759,26,13,8,0,34,1,0,0,1,Medium
58,421806,724,37,18,7,4,47,0,1,1,0,Medium
68,125057,491,12,7,9,3,29,0,1,1,0,Medium
35,68409,488,9,8,7,2,21,0,1,0,1,Low
24,276889,311,12,12,5,4,37,0,1,0,1,Medium
22,457686,538,18,19,13,2,43,1,1,0,0,Medium
26,179457,752,15,9,10,3,22,0,1,0,0,Medium
47,446512,682,32,21,13,5,47,0,0,0,1,Medium
35,410710,347,15,13,10,2,35,1,1,1,0,Medium
60,353860,616,20,14,12,6,44,0,1,0,1,Medium
48,381296,508,15,14,7,2,38,0,1,1,0,Medium
30,56382,846,18,20,5,1,39,1,0,1,0,Medium
36,106675,418,13,4,6,4,15,0,0,1,1,Low
36,52419,614,12,11,6,0,38,0,0,1,1,Low
47,111238,335,8,6,4,2,22,1,1,1,0,Medium
63,255825,762,22,15,9,3,33,0,0,0,1,Medium
34,200363,702,14,11,9,4,45,0,0,1,0,Medium
53,304541,406,16,8,9,2,21,1,0,1,0,Medium
60,350032,338,11,18,10,3,37,0,1,0,1,Medium
53,65169,479,9,8,6,3,11,0,0,0,0,Low
25,92182,311,5,5,3,5,23,0,0,1,1,Low
51,384620,638,24,14,12,2,37,1,1,0,0,Medium
58,334393,847,16,14,7,1,48,1,1,1,0,High
44,189413,425,11,6,8,3,20,0,0,0,0,Low
60,367747,362,16,13,8,4,56,1,1,0,0,Medium
66,207216,381,10,11,7,2,26,0,1,0,0,Medium
36,484988,598,13,11,9,3,63,0,0,1,1,Medium
64,109360,333,6,9,5,1,21,0,1,1,0,Low
50,43444,348,6,3,1,2,14,0,1,0,1,Low
57,468863,356,16,19,18,3,35,0,0,0,1,Low
34,153662,408,14,7,7,1,26,0,1,0,1,Medium
53,275488,816,20,20,6,3,43,1,0,0,1,Medium
28,128843,323,11,5,7,3,22,1,0,0,0,Low
43,303118,520,17,12,5,2,34,0,0,1,0,Low
49,142150,614,12,11,7,4,26,0,0,0,1,Low
23,461599,593,23,23,8,6,52,0,0,0,0,Low
63,286620,309,13,10,6,6,26,1,1,1,0,Medium
66,124826,780,19,8,6,5,43,0,0,1,1,Low
27,389792,566,22,12,14,3,62,0,1,0,0,Medium
49,255121,387,7,9,8,0,25,0,0,1,1,Medium
49,426172,754,25,17,13,3,55,1,1,1,1,High
65,431293,832,27,21,12,4,57,1,1,0,1,High
65,328634,447,15,13,12,4,41,1,1,1,0,Medium
41,271435,730,18,22,10,2,48,1,0,0,1,Medium
51,154713,541,14,12,9,3,30,1,0,0,0,Medium
32,85612,365,6,5,4,5,18,0,0,1,0,Low
49,130474,677,15,8,7,1,30,0,0,0,0,Low
46,328303,687,21,9,15,4,48,0,1,0,0,Medium
60,69710,508,11,10,8,2,18,0,0,0,0,Low
54,437022,714,30,11,10,4,54,1,1,0,1,Medium
22,143096,315,14,8,4,1,25,1,1,0,0,Low
48,239417,596,17,11,12,1,42,0,1,0,1,Medium
34,241463,519,10,9,9,3,38,0,1,0,0,Low
62,399556,666,13,20,10,4,49,1,0,1,1,Medium
24,124924,528,12,8,4,2,25,0,1,0,0,Low
60,298602,739,15,11,14,3,39,1,0,0,1,Medium
27,423137,831,33,19,14,2,46,1,0,1,1,High
29,327668,749,25,17,10,2,53,0,0,0,1,Medium
48,167925,335,13,7,7,3,22,0,0,1,0,Low
30,332621,721,27,12,5,4,31,0,0,0,0,Medium
58,324366,488,15,10,12,4,36,1,0,1,0,Medium
54,48320,477,13,4,5,2,14,0,0,0,1,Low
63,124154,614,21,14,6,3,21,1,0,1,1,Medium
65,82243,319,9,9,3,1,16,0,0,0,1,Low
45,206687,681,20,12,15,8,31,1,0,0,0,Medium
36,440568,442,26,16,5,5,35,0,1,0,0,Medium
53,102833,361,7,6,4,1,19,0,0,1,1,Low
53,123476,541,12,9,11,3,22,0,0,0,1,Low
45,144560,537,11,11,7,1,26,0,1,1,0,Low
62,426419,430,12,13,10,7,40,1,0,0,0,Low
33,331411,422,20,11,11,5,41,0,0,0,0,Low
60,67941,739,8,7,5,1,33,0,1,1,1,Low
23,374953,641,21,13,14,7,39,1,0,1,1,Medium
24,55368,718,19,12,7,3,28,1,1,0,1,Medium
58,369330,754,22,22,13,5,49,0,1,0,0,Medium
38,323128,497,25,11,12,2,46,0,0,1,0,Low
23,465157,581,21,13,16,4,46,1,0,1,1,Medium
23,233990,300,12,10,4,1,32,1,0,0,1,Medium
49,475899,631,13,21,14,6,53,1,0,0,1,Medium
44,287481,511,19,9,11,0,30,0,1,0,1,Medium
58,30801,386,6,6,6,0,11,0,0,0,1,Low
53,136538,360,8,9,3,0,25,1,1,1,1,Medium
54,404345,394,11,17,3,1,45,1,1,1,0,Medium
22,340109,446,17,14,12,5,37,0,0,0,1,Low
40,115269,545,13,7,8,3,24,0,1,0,0,Low
23,283765,596,30,10,10,2,37,1,0,0,1,Medium
65,433185,422,15,9,10,1,44,0,1,0,1,Medium
47,328113,755,14,15,14,1,50,1,0,1,1,Medium
53,455665,698,26,10,16,7,45,0,0,0,1,Medium
27,121679,530,20,10,9,2,29,1,0,0,1,Low
53,186777,833,17,8,9,4,53,1,1,0,0,High
25,221375,701,14,8,5,2,37,1,1,0,1,Medium
32,320507,429,19,12,6,2,33,0,0,0,0,Low
38,191792,591,20,15,6,1,22,0,1,0,0,Low
59,433188,575,21,16,15,3,41,0,0,0,0,Medium
45,63351,675,15,8,9,4,29,0,1,0,1,Low
26,141023,354,7,11,4,3,19,0,0,1,0,Low
55,197217,325,16,5,4,2,22,1,1,0,1,Medium
27,117948,740,13,10,12,3,25,0,0,1,0,Low
43,250686,496,11,14,10,4,29,0,0,0,1,Low
32,249188,542,13,6,10,7,26,0,0,1,1,Low
69,348379,489,18,17,8,3,36,1,0,0,1,Medium
37,306999,575,15,13,10,4,37,1,1,1,0,Medium
54,459385,708,26,12,21,4,55,0,0,1,0,Medium
30,291677,639,21,19,11,8,35,0,0,1,0,Medium
27,207476,452,16,16,4,5,36,1,1,0,1,Medium
37,180641,697,15,14,13,1,32,0,1,0,0,Medium
50,155074,743,17,12,16,3,41,0,1,1,0,Medium
24,290078,726,22,17,12,1,53,0,0,0,1,Medium
41,84437,786,25,11,6,4,38,0,1,0,1,Medium
57,471722,503,23,22,17,4,50,0,0,0,1,Low
40,186810,411,11,9,8,0,25,0,1,1,0,Medium
47,429988,624,21,19,11,4,43,0,0,0,0,Low
24,120410,557,14,10,4,1,29,1,1,0,0,Medium
40,49731,827,17,11,12,4,39,0,0,1,1,Medium
41,171203,649,18,9,10,3,35,1,1,0,0,Medium
53,358468,734,28,16,7,2,51,1,0,1,1,Medium
28,215169,725,20,16,8,4,29,0,1,0,0,Medium
62,373864,579,23,12,14,4,55,0,0,0,1,Medium
54,388577,670,28,14,13,4,43,1,1,1,1,High
61,295033,548,17,7,7,1,35,0,0,0,1,Low
60,39569,480,5,4,5,1,23,1,1,0,0,Low
39,379337,377,15,16,6,2,38,1,1,1,1,Medium
61,236749,635,26,14,9,4,36,0,0,1,1,Low
22,115192,349,12,10,5,2,22,0,1,1,0,Low
32,284829,384,15,6,10,3,23,0,1,1,0,Medium
49,117154,303,15,10,3,2,20,0,0,0,0,Low
46,238542,616,12,15,6,1,36,1,0,0,0,Low
44,138073,410,7,10,3,2,23,0,0,1,0,Low
52,249894,633,22,14,11,3,43,0,1,0,0,Medium
51,299756,432,11,15,10,1,41,0,1,0,1,Medium
63,81644,418,11,5,6,3,14,0,0,0,1,Low
56,62069,649,10,6,6,1,28,1,1,0,1,Low
28,373885,841,21,15,11,3,59,0,0,0,1,Medium
37,450547,354,21,14,14,4,35,0,0,0,1,Medium
47,348041,660,28,7,10,3,50,1,0,1,1,Medium
69,175006,752,19,11,12,3,40,1,0,1,1,Medium
23,433311,629,23,15,15,4,59,1,0,0,1,Medium
22,394688,518,21,8,10,5,34,1,1,1,1,Medium
69,48706,507,17,11,6,1,21,0,0,0,1,Low
33,204588,384,10,8,8,3,29,0,0,0,0,Low
26,133602,544,13,10,5,4,24,0,0,1,0,Low
58,326773,634,21,13,12,3,42,0,0,0,1,Low
53,470126,511,23,10,11,3,36,0,0,1,0,Medium
30,154746,482,11,17,7,2,22,0,0,0,1,Low
62,50431,432,8,7,7,1,21,0,0,0,1,Low
56,217805,649,22,8,11,1,34,0,1,1,1,Medium
40,70088,581,14,10,7,4,28,0,1,0,1,Low
69,205207,592,16,14,7,8,45,1,1,0,0,Medium
37,461231,568,26,11,10,5,49,0,1,0,1,Medium
24,261110,496,20,11,8,1,41,0,0,0,0,Low
41,61385,836,16,9,7,0,30,0,1,0,1,Medium
45,362343,319,15,10,13,5,31,0,0,0,1,Low
54,330821,704,15,7,7,1,42,1,1,1,0,High
45,148104,414,12,6,4,1,21,0,0,0,0,Low
32,42818,325,7,5,3,1,17,0,1,0,0,Low
29,355145,694,14,13,8,7,50,0,1,0,0,Medium
57,185049,680,16,10,12,2,27,1,1,0,1,Medium
59,79832,822,14,7,6,3,47,1,0,1,0,Medium
61,333075,838,29,16,21,3,56,0,0,0,1,Medium
41,113990,382,11,6,4,4,24,0,0,1,1,Low
56,239966,849,28,13,12,4,54,1,0,0,1,High
69,102204,744,14,14,8,2,45,1,1,0,0,Medium
46,75784,386,5,7,7,1,15,0,0,0,0,Low
56,398449,686,25,17,16,4,70,1,1,1,1,High
46,39921,697,10,8,10,1,32,1,0,0,1,Low
50,327103,585,22,14,10,6,40,0,0,0,0,Low
39,324472,668,26,20,10,3,51,0,1,0,1,Medium
67,432075,721,21,17,10,6,48,0,0,1,0,Medium
39,285564,742,19,16,16,5,40,1,0,0,1,Medium
23,119506,819,18,10,5,2,39,0,1,1,1,Medium
56,104408,587,16,11,8,4,26,1,1,1,0,Medium
37,153852,394,16,6,3,4,24,0,1,1,0,Low
62,245838,340,12,10,4,0,22,0,0,0,0,Low
57,56708,630,11,6,7,2,29,1,0,1,1,Low
54,48847,454,10,6,6,1,26,1,0,0,0,Low
25,85989,803,20,15,4,5,40,0,0,1,0,Low
54,417527,574,23,8,7,7,43,0,0,0,1,Low
35,34922,478,14,6,3,1,24,0,1,0,0,Low
42,493144,436,27,13,12,6,49,1,0,0,0,Medium
69,82335,479,11,9,3,0,17,0,0,0,0,Low
41,419057,481,25,14,9,2,41,1,0,0,1,Medium
29,436757,558,22,14,11,4,52,0,1,1,1,Medium
28,311695,542,13,17,11,1,37,0,1,0,1,Medium
24,180453,395,14,8,7,0,24,1,0,0,1,Low
38,405463,496,22,19,8,5,38,0,0,0,1,Low
54,347817,825,26,15,15,4,53,0,1,1,1,High
69,393675,686,17,17,19,3,54,1,0,0,1,Medium
33,52948,707,18,15,3,2,28,0,0,0,0,Low
43,122264,568,16,8,7,3,19,0,1,1,0,Low
43,89072,470,8,5,4,2,16,0,0,0,1,Low
67,359704,469,16,11,11,2,52,1,1,1,0,Medium
51,243321,458,19,7,11,3,30,1,1,0,0,Medium
59,163558,808,20,10,7,2,42,1,1,1,1,High
59,96691,746,19,11,5,2,34,1,1,1,1,Medium
66,171154,381,14,6,2,2,16,0,0,0,1,Low
29,394925,356,11,13,16,2,28,0,0,1,0,Medium
48,376249,818,28,23,10,8,62,0,0,0,1,Medium
48,37086,411,9,3,4,2,16,1,0,0,1,Low
55,419962,347,13,16,13,3,23,0,1,0,1,Medium
42,97853,675,16,14,9,0,34,0,0,0,1,Low
51,394069,332,27,11,13,5,31,0,1,1,1,Medium
54,362171,803,25,11,14,5,48,1,1,0,0,High
49,308060,302,19,8,17,2,24,0,0,1,0,Low
68,307392,785,26,17,11,2,37,0,1,1,0,High
54,491263,815,32,16,12,6,56,0,1,0,0,Medium
26,316370,341,13,11,9,2,25,1,0,0,1,Medium
69,448241,308,12,16,8,4,42,0,1,0,0,Medium
40,268922,441,16,16,5,3,27,0,1,0,1,Medium
25,78380,735,13,8,4,4,25,0,1,1,1,Low
56,299992,326,22,17,11,6,37,0,0,1,0,Medium
38,44274,342,8,3,4,1,13,0,0,0,0,Low
65,346689,430,21,15,6,1,33,0,0,0,1,Medium
49,290115,515,14,15,5,5,29,0,0,0,0,Low
51,126494,819,24,13,7,3,47,0,1,1,1,Medium
50,145981,644,12,13,9,5,35,0,0,1,1,Low
67,196305,807,22,10,11,2,41,1,1,1,0,Medium
27,46304,712,8,7,2,1,31,1,1,1,1,Medium
56,303438,545,23,13,8,4,42,0,1,0,0,Medium
62,318569,748,29,12,10,3,28,1,1,0,1,High
58,229783,320,8,12,8,0,31,0,0,0,0,Low
45,140777,707,8,10,8,4,43,1,0,1,0,Medium
50,432641,756,20,11,19,3,47,0,0,1,1,Medium
67,121549,743,25,5,5,5,38,1,1,0,1,Medium
52,123464,564,19,10,5,3,30,1,1,0,1,Medium
56,468206,483,24,28,11,6,33,1,1,0,0,Medium
54,136748,526,13,7,2,3,22,1,1,1,0,Low
42,496962,847,26,25,22,5,63,1,1,1,0,High
53,360439,545,13,12,18,5,44,0,0,0,1,Low
44,308235,372,16,11,8,2,24,1,0,1,0,Medium
54,412087,449,22,10,18,3,35,1,0,0,1,Medium
24,284174,812,16,21,10,4,39,1,1,0,0,High
39,161074,368,15,8,6,5,24,0,1,0,0,Low
46,283890,529,17,9,9,2,34,0,0,1,0,Low
63,80411,371,7,6,9,1,12,0,0,1,0,Low
52,464174,696,26,24,12,3,43,0,0,0,1,Medium
24,288901,383,16,16,8,2,35,1,1,0,0,Medium
61,125696,598,9,12,7,1,28,0,0,0,1,Low
67,181779,592,14,11,7,2,25,1,1,1,0,Medium
45,176320,522,10,9,4,1,20,1,1,1,1,Medium
53,101309,515,12,10,7,3,21,0,0,0,0,Low
68,239394,530,10,9,4,4,34,0,0,0,1,Low
43,474936,704,23,20,10,6,52,0,0,1,0,Medium
44,176109,468,11,13,4,1,25,0,1,0,0,Low
23,97421,628,15,14,8,0,32,0,1,0,1,Low
48,266436,725,23,11,10,4,43,1,0,0,1,Medium
63,332756,495,24,15,8,6,32,0,1,0,1,Medium
23,43450,825,17,8,8,1,30,0,1,0,0,Medium
47,39491,376,4,4,3,0,18,0,1,0,1,Low
38,147026,576,11,9,11,3,21,0,0,0,1,Low
61,104804,765,16,12,6,0,24,0,0,0,1,Low
54,385437,747,24,17,11,5,47,0,1,0,0,Medium
30,149498,619,21,14,9,2,32,0,1,0,1,Medium
64,268515,459,13,7,6,1,36,0,1,0,1,Medium
69,430007,791,48,19,9,4,63,0,1,1,0,High
60,397619,612,16,16,12,2,46,1,1,1,1,High
50,320458,460,19,8,10,3,38,1,0,1,0,Medium
63,344027,607,16,14,11,4,38,0,0,0,1,Low
47,379230,445,20,15,9,2,33,0,1,0,0,Low
56,226701,695,19,12,8,1,37,1,0,0,0,Medium
46,393435,388,24,17,7,3,27,1,1,1,1,Medium
45,272223,607,15,11,9,0,33,1,0,1,1,Medium
34,39967,845,23,15,5,2,32,1,1,1,1,Medium
28,242826,670,16,13,12,1,49,1,1,0,1,High
57,335364,750,19,22,16,4,47,1,0,0,0,Medium
66,235235,466,16,3,9,1,29,1,1,0,1,Medium
41,428163,691,27,16,9,3,55,0,1,0,0,Medium
22,200491,790,14,13,9,2,33,0,1,0,1,Medium
29,348275,449,18,10,9,3,33,1,0,1,0,Medium
67,58876,767,20,9,11,3,31,1,0,1,1,Medium
37,249516,342,12,14,7,0,20,0,1,0,0,Medium
35,393592,328,23,8,10,3,31,0,0,0,1,Low
33,181043,330,10,4,9,2,13,0,1,0,0,Low
44,485755,427,19,15,9,5,54,0,1,1,0,Medium
36,259192,593,15,9,3,2,40,0,1,1,0,Medium
49,341372,740,21,9,17,6,44,1,0,1,1,High
55,284767,687,19,23,16,4,41,0,0,0,1,Medium
23,366639,823,21,11,14,5,54,1,1,1,1,High
53,282313,846,20,16,11,4,44,0,1,0,0,Medium
44,58261,409,9,6,6,1,23,0,1,1,0,Low
43,136601,627,19,11,14,2,31,1,1,0,0,Medium
46,91260,704,13,11,5,2,31,0,1,0,0,Low
43,426562,544,18,10,7,7,54,0,0,0,0,Low
43,86176,462,19,3,2,4,22,1,0,1,0,Low
63,344444,698,28,16,8,10,39,1,0,1,1,Medium
27,172412,698,20,17,9,4,40,1,0,1,0,Medium
36,325156,792,25,18,12,5,36,0,1,1,1,High
64,196465,538,22,14,9,0,21,0,1,0,1,Medium
58,132153,764,16,8,7,0,38,0,1,0,0,Low
54,498349,331,20,20,13,2,40,0,0,0,1,Medium
29,448773,422,21,13,7,4,45,1,1,1,0,Medium
65,487420,833,28,17,16,5,60,0,1,0,1,High
65,365417,409,17,13,9,1,35,0,0,0,0,Low
26,404472,570,14,9,8,4,46,0,0,1,0,Medium
60,402448,679,26,19,11,6,51,0,1,1,1,Medium
25,398781,599,28,16,10,2,36,0,1,0,0,Medium
27,178348,548,18,14,13,4,45,0,1,0,0,Low
66,346783,820,20,19,15,5,50,0,1,1,1,High
53,414083,333,17,10,6,2,39,0,1,0,1,Medium
51,37310,527,18,6,7,2,21,0,0,0,1,Low
68,196239,698,24,10,12,4,39,0,0,1,0,Low
56,395088,519,15,16,8,3,57,0,1,0,1,Medium
61,171463,670,17,9,9,4,37,0,1,0,0,Low
37,152013,827,16,11,8,3,38,1,0,0,0,Medium
34,211693,374,17,6,4,1,34,0,0,1,0,Low
63,171964,435,16,6,7,2,24,1,1,0,0,Medium
51,368877,373,12,8,6,2,32,1,0,0,0,Low
40,239658,553,18,7,4,2,31,0,1,0,0,Low
38,459358,317,18,18,8,4,32,0,0,1,1,Low
40,468895,342,18,17,10,3,39,1,0,0,0,Medium
49,202687,349,13,10,6,1,16,0,0,1,0,Medium
47,208625,814,13,13,8,5,43,0,1,1,0,Medium
58,139264,602,13,14,7,4,15,1,1,1,0,Medium
47,109071,441,9,10,6,3,19,0,1,0,0,Low
44,202074,501,18,12,7,1,15,0,1,1,0,Medium
30,414755,506,18,13,11,3,34,1,1,1,0,Medium
33,100658,714,10,10,7,4,21,0,1,1,0,Low
22,39852,520,14,5,4,3,23,1,0,1,0,Low
22,297531,661,27,12,11,3,42,0,1,1,0,Medium
68,419715,380,15,11,11,5,30,0,0,1,0,Low
55,389439,584,16,14,13,2,35,0,0,0,1,Low
53,160381,668,22,12,9,3,41,1,0,0,0,Low
69,332138,791,26,13,8,4,56,0,1,0,1,Medium
46,264484,645,18,12,9,2,44,1,1,0,1,Medium
61,409056,503,27,15,14,6,46,0,0,0,1,Medium
66,456941,324,39,13,8,3,39,0,1,1,1,Medium
22,233754,368,19,6,10,1,33,0,1,0,1,Medium
37,161632,815,13,12,10,6,43,1,1,0,1,High
60,416354,791,32,16,11,4,55,0,0,1,1,Medium
26,348709,539,22,11,14,2,37,0,0,0,0,Medium
43,293456,660,20,13,10,5,45,1,0,1,0,Medium
50,441421,740,23,10,11,7,52,1,1,0,0,Medium
24,418026,330,14,15,14,3,41,0,0,1,0,Medium
33,434811,621,33,27,5,2,42,0,0,0,0,Low
47,117566,643,18,9,8,4,33,1,0,1,0,Medium
37,313473,835,20,8,16,7,70,1,1,1,0,High
58,264750,654,12,14,8,3,44,0,1,1,1,Medium
43,360331,770,24,12,11,6,37,0,1,1,1,Medium
50,105542,404,7,5,5,2,21,1,0,1,1,Low
35,138237,621,20,9,8,3,24,0,1,0,1,Low
49,406620,826,23,17,17,6,58,0,0,0,0,Medium
26,327789,803,30,12,19,4,32,0,0,0,1,Medium
68,117502,384,13,7,3,0,19,0,1,0,0,Low
51,379454,534,23,21,12,2,38,0,0,1,1,Medium
67,361763,562,20,15,9,2,40,0,0,1,1,Medium
26,325657,305,16,12,10,1,23,1,0,0,1,Medium
33,38749,793,12,13,14,2,30,0,0,0,0,Low
37,191855,588,15,15,6,1,34,0,0,1,0,Low
47,90645,649,17,14,9,3,29,0,1,0,1,Medium
47,243933,499,23,7,6,5,22,0,0,0,0,Low
69,83175,634,12,13,9,2,36,0,1,0,0,Low
42,485925,516,26,19,13,2,49,0,1,0,0,Medium
60,178395,652,24,10,12,1,41,1,1,0,0,Medium
57,80762,624,11,7,10,1,23,1,0,0,1,Low
54,94222,527,9,6,4,2,20,0,1,0,1,Low
